Units,Appliances,Hours,Season,Rate,Bill
194,1,10.8,Monsoon,6.5,1603.4
222,12,2.8,Summer,7.0,2541.4
512,1,1.9,Summer,7.0,3663.2
597,10,1.8,Summer,7.0,4830.4
509,4,7.1,Monsoon,6.5,3759.3
243,12,6.8,Summer,7.0,2663.4
300,6,2.8,Summer,7.0,2612.4
447,6,9.0,Summer,7.0,3643.0
550,9,3.1,Monsoon,6.5,4289.8
380,11,9.2,Summer,7.0,3667.6
276,12,2.4,Monsoon,6.5,2607.2
161,4,12.3,Winter,6.0,1614.4
544,11,11.9,Winter,6.0,4245.2
443,4,9.9,Winter,6.0,3081.2
255,9,10.6,Monsoon,6.5,2472.3
468,5,13.9,Winter,6.0,3657.2
412,1,4.4,Summer,7.0,2938.2
490,5,2.3,Winter,6.0,3469.4
402,4,9.7,Monsoon,6.5,3196.6
549,3,4.8,Monsoon,6.5,3873.9
349,12,8.8,Monsoon,6.5,3442.9
450,4,14.0,Winter,6.0,3272.0
585,2,10.9,Monsoon,6.5,4143.7
243,11,6.8,Summer,7.0,2488.4
470,10,14.0,Winter,6.0,3982.0
91,11,10.5,Winter,6.0,1679.0
428,2,5.2,Winter,6.0,2773.6
83,12,12.4,Winter,6.0,1609.2
262,9,12.9,Monsoon,6.5,2651.2
599,10,4.0,Monsoon,6.5,4696.5
80,10,5.6,Summer,7.0,1225.8
451,5,4.5,Summer,7.0,3581.0
160,2,10.6,Monsoon,6.5,1351.8
208,3,9.7,Monsoon,6.5,1949.6
351,9,12.4,Summer,7.0,3455.2
285,12,5.4,Summer,7.0,2967.2
542,2,4.6,Winter,6.0,3392.8
101,10,8.4,Winter,6.0,1453.2
152,12,9.4,Summer,7.0,2074.2
112,6,2.4,Summer,7.0,1212.2
577,4,8.2,Winter,6.0,4093.6
564,4,11.3,Monsoon,6.5,4300.4
176,2,9.7,Summer,7.0,1664.6
500,8,12.3,Winter,6.0,3741.4
180,1,6.5,Monsoon,6.5,1440.0
334,4,3.9,Summer,7.0,2786.2
512,3,5.0,Summer,7.0,3896.0
533,9,2.7,Summer,7.0,4517.6
175,4,3.6,Summer,7.0,1683.8
298,7,12.8,Winter,6.0,2535.4
82,7,4.8,Winter,6.0,1163.4
513,12,13.5,Winter,6.0,4370.0
578,3,3.9,Monsoon,6.5,4022.2
142,12,5.4,Summer,7.0,1800.2
568,9,13.0,Monsoon,6.5,4762.0
138,9,2.5,Summer,7.0,1566.0
149,11,12.3,Summer,7.0,2158.4
332,10,8.9,Summer,7.0,3114.2
403,5,4.1,Winter,6.0,2867.8
351,7,3.1,Summer,7.0,3001.8
403,2,1.6,Winter,6.0,2730.8
155,9,4.2,Summer,7.0,1772.6
437,2,12.5,Summer,7.0,3578.0
241,8,11.9,Winter,6.0,2303.2
88,11,11.7,Monsoon,6.5,1617.6
186,3,4.8,Monsoon,6.5,1442.4
239,5,5.0,Monsoon,6.5,1975.5
431,4,10.1,Monsoon,6.5,3329.3
580,5,12.8,Monsoon,6.5,4329.4
513,5,2.1,Summer,7.0,3994.8
348,3,10.8,Summer,7.0,3065.4
517,9,1.6,Monsoon,6.5,3878.3
232,9,2.0,Monsoon,6.5,2188.0
231,7,3.1,Monsoon,6.5,2050.3
120,6,4.1,Winter,6.0,1201.8
185,6,11.3,Monsoon,6.5,1966.9
238,4,12.3,Monsoon,6.5,2091.4
105,3,10.7,Winter,6.0,1144.6
334,5,3.5,Winter,6.0,2332.0
119,8,4.3,Winter,6.0,1439.4
392,4,4.3,Winter,6.0,2680.4
416,5,12.3,Winter,6.0,3157.4
489,11,13.8,Winter,6.0,4159.4
108,2,12.5,Winter,6.0,1111.0
351,1,2.9,Summer,7.0,2675.2
401,7,9.1,Winter,6.0,3226.8
474,10,3.9,Summer,7.0,3949.2
526,1,8.0,Monsoon,6.5,3833.0
281,6,6.9,Monsoon,6.5,2428.7
401,11,12.1,Monsoon,6.5,3663.3
396,11,6.6,Monsoon,6.5,3529.8
382,9,3.1,Monsoon,6.5,3219.8
468,11,10.9,Monsoon,6.5,4001.2
388,7,8.3,Monsoon,6.5,3059.4
373,4,6.9,Winter,6.0,2837.2
409,8,7.0,Monsoon,6.5,3333.5
564,12,3.6,Monsoon,6.5,4439.8
423,2,11.7,Winter,6.0,2965.6
397,4,11.6,Monsoon,6.5,3090.3
127,4,13.8,Summer,7.0,1422.4
504,11,8.7,Winter,6.0,4028.6
489,4,3.3,Winter,6.0,3138.4
515,4,3.7,Summer,7.0,4083.6
131,9,4.6,Winter,6.0,1411.8
216,8,9.8,Winter,6.0,2226.4
404,8,9.2,Monsoon,6.5,3511.6
536,3,10.8,Winter,6.0,3806.4
345,4,12.0,Winter,6.0,2657.0
576,11,4.5,Monsoon,6.5,4660.0
372,4,4.9,Summer,7.0,3014.2
162,3,3.4,Monsoon,6.5,1389.2
